                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08858,                      1,                      1,                0.26799,              0.0033271,              0.0033271,              0.0033271
                      2,                0.01136,                      1,                      1,                0.26567,              0.0066274,              0.0066274,              0.0066274
                      3,                0.00461,                      1,                      1,                0.26545,              0.0098948,              0.0098948,              0.0098948
                      4,                0.00309,                      1,                      1,                0.26541,              0.0098515,              0.0098515,              0.0098515
                      5,                0.00155,                      1,                      1,                0.26538,              0.0098515,              0.0098515,              0.0098515
                      6,                0.00127,                      1,                      1,                0.26543,               0.009802,               0.009802,               0.009802
                      7,                0.00107,                      1,                      1,                 0.2654,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.0007,                      1,                      1,                0.26539,               0.009703,               0.009703,               0.009703
                      9,                0.00087,                      1,                      1,                0.26539,              0.0096535,              0.0096535,              0.0096535
                     10,                0.00062,                      1,                      1,                0.26539,               0.009604,               0.009604,               0.009604
                     11,                0.00024,                      1,                      1,                0.26539,              0.0095545,              0.0095545,              0.0095545
                     12,                 0.0002,                      1,                      1,                0.26538,               0.009505,               0.009505,               0.009505
                     13,                0.00023,                      1,                      1,                0.26539,              0.0094555,              0.0094555,              0.0094555
                     14,                0.00051,                      1,                      1,                0.26539,               0.009406,               0.009406,               0.009406
                     15,                 0.0001,                      1,                      1,                0.26539,              0.0093565,              0.0093565,              0.0093565
                     16,                0.00014,                      1,                      1,                0.26541,               0.009307,               0.009307,               0.009307
                     17,                0.00017,                      1,                      1,                0.26539,              0.0092575,              0.0092575,              0.0092575
                     18,                0.00012,                      1,                      1,                0.26539,               0.009208,               0.009208,               0.009208
                     19,                0.00018,                      1,                      1,                0.26538,              0.0091585,              0.0091585,              0.0091585
                     20,                  7e-05,                      1,                      1,                0.26538,               0.009109,               0.009109,               0.009109
                     21,                  6e-05,                      1,                      1,                0.26538,              0.0090595,              0.0090595,              0.0090595
                     22,                0.00026,                      1,                      1,                0.26539,                0.00901,                0.00901,                0.00901
                     23,                0.00014,                      1,                      1,                0.26539,              0.0089605,              0.0089605,              0.0089605
                     24,                0.00015,                      1,                      1,                0.26539,               0.008911,               0.008911,               0.008911
